. Sequence file : [Hominid_COL17A1.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-90537.61001	Yes        	4        	0.567    	0.200    	 0.26205   0.23970   0.24168   0.25657	-0.96197   0.15985   0.69588   0.10625  
      	     	          	           	          	           	             	                                      	 0.17752  -1.05149   0.18638   0.68760  
      	     	          	           	          	           	             	                                      	 0.77693   0.18209  -1.07666   0.11764  
      	     	          	           	          	           	             	                                      	 0.11688   0.63875   0.11185  -0.86748  
  #70	4   	-90516.59514	Yes        	4        	0.476    	0.179    	 0.26048   0.23955   0.24029   0.25968	-0.99318   0.16216   0.71690   0.11412  
      	     	          	           	          	           	             	                                      	 0.17634  -1.04361   0.18429   0.68298  
      	     	          	           	          	           	             	                                      	 0.77715   0.18372  -1.10046   0.13958  
      	     	          	           	          	           	             	                                      	 0.11447   0.63003   0.12916  -0.87366  
  #71	4   	-90728.40167	Yes        	4        	1.038    	0.200    	 0.26106   0.23978   0.24114   0.25802	-0.97032   0.15230   0.69999   0.11804  
      	     	          	           	          	           	             	                                      	 0.16582  -1.06230   0.17891   0.71757  
      	     	          	           	          	           	             	                                      	 0.75780   0.17790  -1.06728   0.13159  
      	     	          	           	          	           	             	                                      	 0.11943   0.66684   0.12298  -0.90925  
  #72	4   	-90412.97428	Yes        	4        	0.546    	0.198    	 0.25818   0.24163   0.24281   0.25738	-0.95896   0.15201   0.69898   0.10797  
      	     	          	           	          	           	             	                                      	 0.16242  -1.04801   0.18599   0.69960  
      	     	          	           	          	           	             	                                      	 0.74324   0.18509  -1.08658   0.15826  
      	     	          	           	          	           	             	                                      	 0.10831   0.65679   0.14930  -0.91441  
  #73	4   	-90616.29999	Yes        	4        	0.740    	0.199    	 0.25957   0.23861   0.24203   0.25979	-0.95607   0.15398   0.69038   0.11171  
      	     	          	           	          	           	             	                                      	 0.16752  -1.05983   0.18029   0.71202  
      	     	          	           	          	           	             	                                      	 0.74042   0.17774  -1.07895   0.16079  
      	     	          	           	          	           	             	                                      	 0.11162   0.65398   0.14980  -0.91539  
  #74	4   	-90448.15039	Yes        	4        	1.082    	0.201    	 0.26252   0.23654   0.24177   0.25917	-0.97974   0.16382   0.71610   0.09982  
      	     	          	           	          	           	             	                                      	 0.18181  -1.06247   0.18213   0.69854  
      	     	          	           	          	           	             	                                      	 0.77756   0.17819  -1.09838   0.14263  
      	     	          	           	          	           	             	                                      	 0.10112   0.63756   0.13306  -0.87173  
  #75	4   	-90409.39868	Yes        	4        	0.648    	0.199    	 0.25862   0.24058   0.24147   0.25933	-0.98245   0.15848   0.70398   0.11999  
      	     	          	           	          	           	             	                                      	 0.17037  -1.07125   0.19596   0.70492  
      	     	          	           	          	           	             	                                      	 0.75399   0.19524  -1.07008   0.12085  
      	     	          	           	          	           	             	                                      	 0.11966   0.65395   0.11253  -0.88615  
  #76	4   	-90558.01767	Yes        	4        	1.024    	0.200    	 0.26253   0.23953   0.23906   0.25887	-0.97960   0.16440   0.71621   0.09899  
      	     	          	           	          	           	             	                                      	 0.18018  -1.06829   0.16131   0.72679  
      	     	          	           	          	           	             	                                      	 0.78652   0.16163  -1.07404   0.12588  
      	     	          	           	          	           	             	                                      	 0.10039   0.67250   0.11625  -0.88913  
  #77	4   	-90179.40424	Yes        	4        	0.616    	0.200    	 0.26304   0.24174   0.24142   0.25381	-0.91652   0.15804   0.64718   0.11130  
      	     	          	           	          	           	             	                                      	 0.17197  -1.09132   0.19315   0.72620  
      	     	          	           	          	           	             	                                      	 0.70514   0.19341  -1.05047   0.15192  
      	     	          	           	          	           	             	                                      	 0.11535   0.69167   0.14451  -0.95153  
  #78	4   	-90618.53791	Yes        	4        	0.749    	0.200    	 0.26034   0.24080   0.24162   0.25724	-0.95285   0.16093   0.67967   0.11225  
      	     	          	           	          	           	             	                                      	 0.17399  -1.07812   0.19289   0.71124  
      	     	          	           	          	           	             	                                      	 0.73233   0.19224  -1.06619   0.14162  
      	     	          	           	          	           	             	                                      	 0.11360   0.66579   0.13302  -0.91241  
  #79	4   	-90293.28904	Yes        	4        	1.079    	0.201    	 0.25964   0.23928   0.24004   0.26104	-0.94312   0.15998   0.67461   0.10853  
      	     	          	           	          	           	             	                                      	 0.17359  -1.09720   0.19185   0.73176  
      	     	          	           	          	           	             	                                      	 0.72968   0.19124  -1.06311   0.14220  
      	     	          	           	          	           	             	                                      	 0.10794   0.67075   0.13076  -0.90945  
  #80	4   	-90882.73519	Yes        	4        	0.849    	0.199    	 0.25927   0.24084   0.24226   0.25764	-0.97354   0.15407   0.69424   0.12522  
      	     	          	           	          	           	             	                                      	 0.16586  -1.05735   0.17793   0.71357  
      	     	          	           	          	           	             	                                      	 0.74299   0.17689  -1.05563   0.13575  
      	     	          	           	          	           	             	                                      	 0.12602   0.66704   0.12765  -0.92070  
  #81	4   	-91081.70932	Yes        	4        	0.665    	0.200    	 0.25929   0.23984   0.24300   0.25786	-0.98000   0.16687   0.69813   0.11500  
      	     	          	           	          	           	             	                                      	 0.18039  -1.04809   0.16170   0.70600  
      	     	          	           	          	           	             	                                      	 0.74492   0.15959  -1.06000   0.15549  
      	     	          	           	          	           	             	                                      	 0.11563   0.65667   0.14653  -0.91884  
  #82	4   	-90014.02801	Yes        	4        	0.968    	0.200    	 0.25754   0.24154   0.24101   0.25990	-0.96395   0.17607   0.67777   0.11011  
      	     	          	           	          	           	             	                                      	 0.18774  -1.09779   0.17875   0.73130  
      	     	          	           	          	           	             	                                      	 0.72426   0.17914  -1.03586   0.13246  
      	     	          	           	          	           	             	                                      	 0.10911   0.67964   0.12284  -0.91158  
  #83	4   	-90427.16632	Yes        	4        	1.113    	0.201    	 0.25738   0.23930   0.24314   0.26018	-0.96694   0.15813   0.70367   0.10515  
      	     	          	           	          	           	             	                                      	 0.17008  -1.08238   0.20499   0.70731  
      	     	          	           	          	           	             	                                      	 0.74487   0.20175  -1.08160   0.13497  
      	     	          	           	          	           	             	                                      	 0.10401   0.65054   0.12613  -0.88068  
  #84	4   	-90564.01552	Yes        	4        	0.545    	0.200    	 0.25905   0.23895   0.24483   0.25718	-0.96731   0.14309   0.70535   0.11887  
      	     	          	           	          	           	             	                                      	 0.15513  -1.06415   0.20402   0.70500  
      	     	          	           	          	           	             	                                      	 0.74631   0.19912  -1.07700   0.13157  
      	     	          	           	          	           	             	                                      	 0.11973   0.65503   0.12525  -0.90001  
  #85	4   	-90666.57266	Yes        	4        	1.033    	0.200    	 0.25822   0.23876   0.24372   0.25930	-0.98256   0.16565   0.70229   0.11463  
      	     	          	           	          	           	             	                                      	 0.17914  -1.06762   0.16623   0.72225  
      	     	          	           	          	           	             	                                      	 0.74406   0.16285  -1.04703   0.14013  
      	     	          	           	          	           	             	                                      	 0.11415   0.66503   0.13171  -0.91089  
  #86	4   	-90877.66758	Yes        	4        	0.995    	0.200    	 0.25770   0.24455   0.24011   0.25764	-0.95855   0.17205   0.67461   0.11189  
      	     	          	           	          	           	             	                                      	 0.18131  -1.07309   0.16598   0.72580  
      	     	          	           	          	           	             	                                      	 0.72402   0.16905  -1.03840   0.14533  
      	     	          	           	          	           	             	                                      	 0.11191   0.68893   0.13545  -0.93629  
  #87	4   	-90606.41776	Yes        	4        	0.841    	0.198    	 0.26109   0.24162   0.24052   0.25677	-0.94613   0.14701   0.66339   0.13573  
      	     	          	           	          	           	             	                                      	 0.15886  -1.06118   0.16727   0.73505  
      	     	          	           	          	           	             	                                      	 0.72013   0.16804  -1.03349   0.14531  
      	     	          	           	          	           	             	                                      	 0.13802   0.69170   0.13612  -0.96584  
  #88	4   	-90673.64176	Yes        	4        	0.764    	0.200    	 0.26131   0.23817   0.24027   0.26025	-0.99496   0.15879   0.70273   0.13345  
      	     	          	           	          	           	             	                                      	 0.17422  -1.03373   0.16602   0.69349  
      	     	          	           	          	           	             	                                      	 0.76428   0.16457  -1.07574   0.14690  
      	     	          	           	          	           	             	                                      	 0.13399   0.63465   0.13562  -0.90427  
  #89	4   	-90314.84217	Yes        	4        	0.626    	0.200    	 0.25824   0.24098   0.24185   0.25893	-0.98570   0.16496   0.70794   0.11280  
      	     	          	           	          	           	             	                                      	 0.17677  -1.05674   0.17611   0.70386  
      	     	          	           	          	           	             	                                      	 0.75591   0.17548  -1.06948   0.13810  
      	     	          	           	          	           	             	                                      	 0.11250   0.65507   0.12899  -0.89655  
  #90	4   	-90837.66719	Yes        	4        	0.503    	0.180    	 0.26041   0.23743   0.24372   0.25844	-0.99142   0.16528   0.71415   0.11199  
      	     	          	           	          	           	             	                                      	 0.18128  -1.06453   0.18215   0.70110  
      	     	          	           	          	           	             	                                      	 0.76307   0.17745  -1.07229   0.13177  
      	     	          	           	          	           	             	                                      	 0.11284   0.64409   0.12426  -0.88119  
  #91	4   	-90758.76376	Yes        	4        	0.860    	0.200    	 0.25750   0.24174   0.24213   0.25863	-0.99032   0.16038   0.71840   0.11155  
      	     	          	           	          	           	             	                                      	 0.17084  -1.04701   0.18772   0.68845  
      	     	          	           	          	           	             	                                      	 0.76398   0.18742  -1.08847   0.13708  
      	     	          	           	          	           	             	                                      	 0.11106   0.64347   0.12833  -0.88286  
  #92	4   	-90229.45663	Yes        	4        	0.494    	0.180    	 0.25872   0.23929   0.24135   0.26064	-0.95978   0.15679   0.70175   0.10124  
      	     	          	           	          	           	             	                                      	 0.16952  -1.08382   0.19919   0.71512  
      	     	          	           	          	           	             	                                      	 0.75224   0.19748  -1.08607   0.13636  
      	     	          	           	          	           	             	                                      	 0.10049   0.65652   0.12626  -0.88327  
  #93	4   	-91001.65977	Yes        	4        	0.697    	0.200    	 0.25842   0.24099   0.23914   0.26145	-0.93067   0.16599   0.66100   0.10368  
      	     	          	           	          	           	             	                                      	 0.17799  -1.09822   0.17525   0.74498  
      	     	          	           	          	           	             	                                      	 0.71428   0.17660  -1.04867   0.15779  
      	     	          	           	          	           	             	                                      	 0.10248   0.68668   0.14432  -0.93348  
  #94	4   	-90766.92699	Yes        	4        	0.533    	0.199    	 0.26564   0.23976   0.23811   0.25650	-0.95290   0.14352   0.70366   0.10572  
      	     	          	           	          	           	             	                                      	 0.15901  -1.06017   0.19838   0.70278  
      	     	          	           	          	           	             	                                      	 0.78502   0.19975  -1.11419   0.12942  
      	     	          	           	          	           	             	                                      	 0.10948   0.65691   0.12014  -0.88654  
  #95	4   	-90275.35218	Yes        	4        	1.385    	0.203    	 0.25798   0.24001   0.24161   0.26040	-0.97019   0.14396   0.73272   0.09351  
      	     	          	           	          	           	             	                                      	 0.15475  -1.05756   0.15816   0.74465  
      	     	          	           	          	           	             	                                      	 0.78236   0.15711  -1.07616   0.13669  
      	     	          	           	          	           	             	                                      	 0.09265   0.68634   0.12683  -0.90581  
  #96	4   	-90249.19244	Yes        	4        	0.586    	0.200    	 0.25957   0.23845   0.24236   0.25962	-0.92075   0.14454   0.64975   0.12646  
      	     	          	           	          	           	             	                                      	 0.15734  -1.09142   0.20247   0.73160  
      	     	          	           	          	           	             	                                      	 0.69591   0.19920  -1.05302   0.15790  
      	     	          	           	          	           	             	                                      	 0.12644   0.67193   0.14740  -0.94578  
  #97	4   	-90593.56713	Yes        	4        	0.799    	0.200    	 0.25923   0.23752   0.24205   0.26121	-0.93902   0.16339   0.67947   0.09616  
      	     	          	           	          	           	             	                                      	 0.17832  -1.10932   0.21412   0.71688  
      	     	          	           	          	           	             	                                      	 0.72770   0.21011  -1.08427   0.14646  
      	     	          	           	          	           	             	                                      	 0.09543   0.65187   0.13572  -0.88302  
  #98	4   	-90572.33396	Yes        	4        	0.794    	0.200    	 0.25830   0.24087   0.24377   0.25706	-0.95396   0.15191   0.69491   0.10715  
      	     	          	           	          	           	             	                                      	 0.16290  -1.07546   0.17358   0.73899  
      	     	          	           	          	           	             	                                      	 0.73631   0.17151  -1.04641   0.13859  
      	     	          	           	          	           	             	                                      	 0.10767   0.69245   0.13143  -0.93154  
  #99	4   	-91140.36229	Yes        	4        	2.536    	0.196    	 0.25896   0.23923   0.24391   0.25791	-0.96348   0.15866   0.69933   0.10550  
      	     	          	           	          	           	             	                                      	 0.17174  -1.06643   0.18108   0.71361  
      	     	          	           	          	           	             	                                      	 0.74249   0.17761  -1.06959   0.14949  
      	     	          	           	          	           	             	                                      	 0.10593   0.66193   0.14137  -0.90923  
  #100	4   	-90064.45555	Yes        	4        	1.011    	0.200    	 0.25757   0.23753   0.24281   0.26209	-0.92965   0.15470   0.65214   0.12281  
      	     	          	           	          	           	             	                                      	 0.16776  -1.11591   0.20126   0.74689  
      	     	          	           	          	           	             	                                      	 0.69177   0.19688  -1.03418   0.14553  
      	     	          	           	          	           	             	                                      	 0.12069   0.67690   0.13483  -0.93242  
